; classfreq  -v 1 -ci 0.1 -min -33.6
;
;
;
;
;
;
;
;
;
#[min	n	n_cum	n_dcum	f_dcum
-33.6	0	0	351	1.00000
-33.5	0	0	351	1.00000
-33.4	0	0	351	1.00000
-33.3	0	0	351	1.00000
-33.2	0	0	351	1.00000
-33.1	0	0	351	1.00000
-33	0	0	351	1.00000
-32.9	0	0	351	1.00000
-32.8	0	0	351	1.00000
-32.7	0	0	351	1.00000
-32.6	0	0	351	1.00000
-32.5	0	0	351	1.00000
-32.4	0	0	351	1.00000
-32.3	0	0	351	1.00000
-32.2	0	0	351	1.00000
-32.1	0	0	351	1.00000
-32	0	0	351	1.00000
-31.9	0	0	351	1.00000
-31.8	0	0	351	1.00000
-31.7	0	0	351	1.00000
-31.6	0	0	351	1.00000
-31.5	0	0	351	1.00000
-31.4	0	0	351	1.00000
-31.3	0	0	351	1.00000
-31.2	0	0	351	1.00000
-31.1	0	0	351	1.00000
-31	0	0	351	1.00000
-30.9	0	0	351	1.00000
-30.8	0	0	351	1.00000
-30.7	0	0	351	1.00000
-30.6	0	0	351	1.00000
-30.5	0	0	351	1.00000
-30.4	0	0	351	1.00000
-30.3	0	0	351	1.00000
-30.2	0	0	351	1.00000
-30.1	0	0	351	1.00000
-30	0	0	351	1.00000
-29.9	0	0	351	1.00000
-29.8	0	0	351	1.00000
-29.7	0	0	351	1.00000
-29.6	0	0	351	1.00000
-29.5	0	0	351	1.00000
-29.4	0	0	351	1.00000
-29.3	0	0	351	1.00000
-29.2	0	0	351	1.00000
-29.1	0	0	351	1.00000
-29	0	0	351	1.00000
-28.9	0	0	351	1.00000
-28.8	0	0	351	1.00000
-28.7	0	0	351	1.00000
-28.6	0	0	351	1.00000
-28.5	0	0	351	1.00000
-28.4	0	0	351	1.00000
-28.3	0	0	351	1.00000
-28.2	0	0	351	1.00000
-28.1	0	0	351	1.00000
-28	0	0	351	1.00000
-27.9	0	0	351	1.00000
-27.8	0	0	351	1.00000
-27.7	0	0	351	1.00000
-27.6	0	0	351	1.00000
-27.5	0	0	351	1.00000
-27.4	0	0	351	1.00000
-27.3	0	0	351	1.00000
-27.2	0	0	351	1.00000
-27.1	0	0	351	1.00000
-27	0	0	351	1.00000
-26.9	0	0	351	1.00000
-26.8	0	0	351	1.00000
-26.7	0	0	351	1.00000
-26.6	0	0	351	1.00000
-26.5	0	0	351	1.00000
-26.4	0	0	351	1.00000
-26.3	0	0	351	1.00000
-26.2	0	0	351	1.00000
-26.1	0	0	351	1.00000
-26	0	0	351	1.00000
-25.9	0	0	351	1.00000
-25.8	0	0	351	1.00000
-25.7	0	0	351	1.00000
-25.6	0	0	351	1.00000
-25.5	0	0	351	1.00000
-25.4	0	0	351	1.00000
-25.3	0	0	351	1.00000
-25.2	0	0	351	1.00000
-25.1	0	0	351	1.00000
-25	0	0	351	1.00000
-24.9	0	0	351	1.00000
-24.8	0	0	351	1.00000
-24.7	0	0	351	1.00000
-24.6	0	0	351	1.00000
-24.5	0	0	351	1.00000
-24.4	0	0	351	1.00000
-24.3	0	0	351	1.00000
-24.2	0	0	351	1.00000
-24.1	0	0	351	1.00000
-24	0	0	351	1.00000
-23.9	0	0	351	1.00000
-23.8	0	0	351	1.00000
-23.7	0	0	351	1.00000
-23.6	0	0	351	1.00000
-23.5	0	0	351	1.00000
-23.4	0	0	351	1.00000
-23.3	0	0	351	1.00000
-23.2	0	0	351	1.00000
-23.1	0	0	351	1.00000
-23	0	0	351	1.00000
-22.9	0	0	351	1.00000
-22.8	0	0	351	1.00000
-22.7	0	0	351	1.00000
-22.6	0	0	351	1.00000
-22.5	0	0	351	1.00000
-22.4	0	0	351	1.00000
-22.3	0	0	351	1.00000
-22.2	0	0	351	1.00000
-22.1	0	0	351	1.00000
-22	0	0	351	1.00000
-21.9	0	0	351	1.00000
-21.8	0	0	351	1.00000
-21.7	0	0	351	1.00000
-21.6	0	0	351	1.00000
-21.5	0	0	351	1.00000
-21.4	0	0	351	1.00000
-21.3	0	0	351	1.00000
-21.2	0	0	351	1.00000
-21.1	0	0	351	1.00000
-21	0	0	351	1.00000
-20.9	0	0	351	1.00000
-20.8	0	0	351	1.00000
-20.7	0	0	351	1.00000
-20.6	0	0	351	1.00000
-20.5	0	0	351	1.00000
-20.4	0	0	351	1.00000
-20.3	0	0	351	1.00000
-20.2	0	0	351	1.00000
-20.1	0	0	351	1.00000
